ORI,year,department_id,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,latitude,longitude
FL01300,1976,35,649499.0,70.0,216.0,1939.0,4562.0,6787.0,12.0,1044.95926860549,10.777537763722501,33.2564022423437,298.537796055113,702.387532544315,25.778135,-80.1791
WIMPD00,1976,36,652517.0,57.0,168.0,1621.0,846.0,2692.0,12.0,412.556301215141,8.735404594822821,25.746455647898802,248.422646459786,129.651794512633,43.038902,-87.906471
MN02711,1976,37,397421.0,27.0,300.0,1407.0,1220.0,2954.0,12.0,743.292377604606,6.7938030451335,75.4867005014833,354.032625351957,306.97924870603197,44.986656,-93.258133
MD01604,1976,38,480055.0,26.0,85.0,564.0,257.0,932.0,12.0,194.14442095176602,5.416046078053559,17.7063044859443,117.486538000854,53.53553238691399,39.1501072,-77.1997039
TN01901,1976,39,445979.0,74.0,129.0,1722.0,906.0,2831.0,12.0,634.783252126221,16.5927095221972,28.9251287616682,386.116835097617,203.148578744739,36.174465,-86.76796
NY02900,1976,40,1053093.0,20.0,23.0,659.0,185.0,887.0,12.0,84.2280786217362,1.89916749992641,2.18404262491537,62.5775691225751,17.5672993743193,40.7506561,-73.582905
LANPD00,1976,41,557327.0,170.0,264.0,2600.0,1776.0,4810.0,12.0,863.0480848765629,30.5027389665313,47.368959336260396,466.51247831165495,318.663908262115,29.951065,-90.071533
NY03030,1976,42,7530493.0,1622.0,3400.0,86183.0,42948.0,134153.0,12.0,1781.46371027767,21.5390944523818,45.1497664229951,1144.45362342147,570.321225980822,40.73061,-73.935242
NJNPD00,1976,43,367886.0,99.0,323.0,3834.0,2309.0,6565.0,12.0,1784.5202046286101,26.9105103211321,87.79893771440071,1042.17067243657,627.6400841565049,40.735657,-74.172363
CA00109,1976,44,333100.0,98.0,309.0,2894.0,2213.0,5514.0,12.0,1655.3587511257901,29.420594416091298,92.7649354548184,868.808165716001,664.3650555388771,37.804363,-122.271111
OK05506,1976,45,376522.0,36.0,228.0,770.0,1326.0,2360.0,12.0,626.789404072006,9.561194299403489,60.5542305628888,204.503322515019,352.17065669469497,35.481918,-97.508469
NB02802,1976,46,388592.0,19.0,193.0,788.0,1008.0,2008.0,12.0,516.7373491991599,4.88944702927492,49.66648824474,202.78338205624402,259.398031868901,41.25716,-95.995102
FL04804,1976,47,116848.0,17.0,98.0,327.0,676.0,1118.0,12.0,956.798575927701,14.5488155552513,83.869642612625,279.850746268657,578.529371491168,28.538336,-81.379234
PAPEP00,1976,48,1916665.0,338.0,764.0,7786.0,4225.0,13113.0,12.0,684.1571166583619,17.6347979433026,39.8609042268732,406.226440196904,220.434974291282,39.952583,-75.165222
AZ00723,1976,49,669005.0,53.0,240.0,1485.0,2078.0,3856.0,12.0,576.378352927108,7.92221283846907,35.8741713440109,221.971435191067,310.61053355356097,33.448376,-112.074036
PAPPD00,1976,50,487106.0,62.0,287.0,2419.0,1853.0,4621.0,12.0,948.6641511293229,12.728235743349499,58.9194138442146,496.606488115523,380.41001342623593,40.440624,-79.995888
OR02602,1976,51,379818.0,39.0,322.0,1913.0,2030.0,4304.0,12.0,1133.17430980101,10.268075762602098,84.7774460399454,503.662280355328,534.466507643134,45.512794,-122.679565
MD01721,1976,52,578318.0,37.0,280.0,1941.0,1611.0,3869.0,12.0,669.009091883704,6.3978641508650895,48.4162692497899,335.62849504943597,278.566463433613,38.83,-76.85
NC09201,1976,53,148093.0,11.0,29.0,138.0,353.0,531.0,12.0,358.55847339172004,7.427764985515861,19.582289507269103,93.184688000108,238.36373089882701,35.787743,-78.644257
CA03404,1976,54,260700.0,52.0,192.0,1187.0,1368.0,2799.0,12.0,1073.64787111623,19.946298427311103,73.6478711162255,455.31261986958197,524.7410817031069,38.575764,-121.478851
